Phrases,Count
mile card,85
credit card,57
mile per,42
fee waiver,42
customer service,41
per dollar,40
annual fee,39
great card,22
using card,22
promotion perk,20
card mile,19
dbs point,19
mile expire,19
sign bonus,17
one best,16
lounge access,16
general spend,16
online purchase,15
priority pas,15
use card,14
