Phrases,Count
dbs multiplier account,35
posb everyday card,8
uob one account,7
uob one card,6
cash back card,6
minimum spend required,6
card minimum spend,6
annual fee waiver,6
minimum spend 600,6
cashback minimum spend,5
dbs live fresh,5
credit card spend,5
ocbc 360 account,5
hit minimum spend,5
credit card bill,5
waive annual fee,5
good credit card,5
one best card,5
higher interest rate,5
cashback card cashback,5
